,Dates,Ratings
0,7/2/05,4
1,8/8/05,4.142857143
2,9/4/05,4.111111111
3,12/18/05,3.6
4,1/10/06,3.2
5,2/2/06,3
6,3/1/06,3.083333333
7,4/9/06,3.444444444
8,5/1/06,3.5
9,6/1/06,3.833333333
10,7/12/06,3.333333333
11,8/3/06,4.285714286
12,9/1/06,2.875
13,10/3/06,3.875
14,11/7/06,3.454545455
15,12/5/06,3.166666667
16,1/8/07,3
17,2/1/07,2.8
18,3/2/07,3.055555556
19,4/1/07,3.555555556
20,5/1/07,3.428571429
21,6/2/07,2.72
22,7/1/07,3.055555556
23,8/1/07,3.15625
24,9/2/07,3.181818182
25,10/1/07,3.371428571
26,11/1/07,3.37037037
27,12/4/07,3.423076923
28,1/1/08,3.666666667
29,2/1/08,3
30,3/2/08,3.407407407
31,4/7/08,3.288888889
32,5/1/08,3.392857143
33,6/2/08,3.074074074
34,7/1/08,3.134615385
35,8/1/08,2.842857143
36,9/1/08,3.166666667
37,10/1/08,3.311111111
38,11/1/08,3.357142857
39,12/2/08,3.448979592
40,1/1/09,3.1
41,2/1/09,3.182926829
42,3/1/09,3.134615385
43,4/1/09,3.28358209
44,5/1/09,3.508196721
45,6/1/09,3.322033898
46,7/1/09,3.392857143
47,8/1/09,3.150943396
48,9/1/09,3.224137931
49,10/1/09,3.290909091
50,11/2/09,3.321428571
51,12/1/09,3.418181818
52,1/1/10,3.223880597
53,2/1/10,3.393939394
54,3/1/10,3.375
55,4/1/10,3.441558442
56,5/1/10,3.405405405
57,6/1/10,3.657534247
58,7/1/10,3.435897436
59,8/1/10,3.510638298
60,9/1/10,3.5
61,10/1/10,3.316326531
62,11/1/10,3.540816327
63,12/1/10,3.432432432
64,1/1/11,3.377358491
65,2/1/11,3.426229508
66,3/1/11,3.466666667
67,4/1/11,3.526315789
68,5/1/11,3.678571429
69,6/1/11,3.503937008
70,7/1/11,3.723880597
71,8/1/11,3.361842105
72,9/1/11,3.56
73,10/1/11,3.443708609
74,11/1/11,3.5390625
75,12/1/11,3.431192661
76,1/1/12,3.491803279
77,2/2/12,3.485915493
78,3/1/12,3.238461538
79,4/1/12,3.438356164
80,5/1/12,3.307017544
81,6/1/12,3.380952381
82,7/1/12,3.339393939
83,8/1/12,3.326633166
84,9/1/12,3.5
85,10/1/12,3.423611111
86,11/1/12,3.503759398
87,12/1/12,3.201680672
88,1/1/13,3.366666667
89,2/1/13,3.456375839
90,3/1/13,3.295454545
91,4/1/13,3.296551724
92,5/1/13,3.316901408
93,6/1/13,3.396946565
94,7/1/13,3.569892473
95,8/1/13,3.295336788
96,9/1/13,3.527777778
97,10/1/13,3.40625
98,11/1/13,3.531707317
99,12/1/13,3.417112299
100,1/1/14,3.295698925
101,2/1/14,3.292237443
102,3/1/14,3.5
103,4/1/14,3.355555556
104,5/1/14,3.52
105,6/1/14,3.437751004
106,7/1/14,3.463878327
107,8/1/14,3.435045317
108,9/1/14,3.193333333
109,10/1/14,3.417670683
110,11/1/14,3.247311828
111,12/1/14,3.319702602
112,1/1/15,3.252873563
113,2/1/15,3.286982249
114,3/1/15,3.186851211
115,4/1/15,3.471571906
116,5/1/15,3.251633987
117,6/1/15,3.23054755
118,7/1/15,3.284431138
119,8/1/15,3.286697248
120,9/1/15,3.094091904
121,10/1/15,3.292834891
122,11/1/15,3.06
123,12/1/15,2.99726776
124,1/1/16,2.989276139
125,2/1/16,3.16293279
126,3/1/16,3.129107981
127,4/1/16,3.107061503
128,5/1/16,3.152631579
129,6/1/16,3.137157107
130,7/1/16,3.082687339
131,8/1/16,3.020366599
132,9/1/16,3.226829268
133,10/1/16,3.101369863
134,11/1/16,2.952631579
135,12/1/16,3.126315789
136,1/1/17,2.902743142
137,2/1/17,3.014112903
138,3/1/17,2.945238095
139,4/1/17,2.906542056
140,5/1/17,2.933184855
141,6/1/17,3.044897959
142,7/1/17,3.022869023
143,8/1/17,2.858439201
144,9/1/17,3.114391144
145,10/1/17,2.847457627
146,11/1/17,2.947242206
147,12/1/17,3
148,1/1/18,2.918859649
149,2/1/18,2.874776386
150,3/1/18,2.975501114
151,4/1/18,2.881508079
152,5/1/18,3.058585859
153,6/1/18,2.916334661
154,7/1/18,2.990138067
155,8/1/18,2.970740103
156,9/1/18,2.79303675
157,10/1/18,2.853828306
158,11/1/18,3.034120735
159,12/1/18,3.004889976
160,1/1/19,2.803278689
161,2/1/19,2.964102564
162,3/1/19,2.982978723
163,4/1/19,2.998275862
164,5/1/19,2.923250564
165,6/1/19,2.92224622
166,7/1/19,2.864332604
167,8/1/19,2.854469854
168,9/1/19,2.768518519
169,10/1/19,2.795969773
170,11/1/19,2.960655738
171,12/1/19,2.766025641
172,1/1/20,2.81865285
173,2/1/20,3.031100478
174,3/1/20,2.80787037
175,4/1/20,2.860902256
176,5/1/20,2.375
177,6/1/20,2.073529412
178,7/1/20,2.743697479
179,8/1/20,2.523489933
180,9/1/20,2.802919708
181,10/1/20,2.652719665
182,11/1/20,2.611111111
183,12/1/20,2.711409396
184,1/1/21,2.89010989
185,2/1/21,2.517857143
